school_name,level,school_type,ode_school_id,nces_school_id,street_address,city,zip_code,latitude,longitude,is_closure_candidate,closure_rank,is_title_i,is_urm_building,urm_retrofit_cost_usd,seismic_retrofit_status,recent_boundary_change,programs,has_dli,dli_languages,has_focus_option,dli_students_2526,neighborhood_students_2526,pct_dli_2526,year_built,square_feet,construction_type_2009,functional_capacity_2021,utilization_pct_2526,enrollment_2024_25,enrollment_2025_26,enrollment_pct_change,enrollment_2018,enrollment_2019,enrollment_2020,enrollment_2021,enrollment_2022,enrollment_2023,ccd_enrollment_2022,pct_ela_prof_2425,pct_math_prof_2425,pct_ela_prof_2324,pct_math_prof_2324,n_ela_participants_2425,n_math_participants_2425,pct_regular_attenders_2425,pct_experienced_teachers_2425,pct_teacher_retention_2425,class_size_2425,crdc_lep_2020,crdc_idea_2020,crdc_chronic_absent_2020,pct_lep,pct_idea,counselors_fte_2021,social_workers_fte_2021,psychologists_fte_2021,nurses_fte_2021,suspensions_2021,chronic_absent_2021,enrollment_crdc_2021,frl_free_lunch,frl_reduced_lunch,frl_direct_certification,pct_free_lunch,pct_frl,pct_direct_cert,pct_ai_an,pct_asian,pct_nhpi,pct_black,pct_hispanic,pct_white,pct_multiracial,affordable_units_within_1mi,pipeline_affordable_units_within_1mi,pipeline_family_units_within_1mi,n_pipeline_projects_within_1mi,permits_units_within_1mi_since_2022,n_permits_within_1mi_since_2022
Lent Elementary School,elementary,Regular School,870.0,411004000915.0,5105 SE 97th Ave,Portland,97266,45.4855,-122.5639,True,11.0,True,False,,full,SEGC 2023,Spanish DLI,True,Spanish,False,256.0,0.0,1.0,1949.0,74131.0,Wood,707.0,0.3621,256.0,256.0,0.0,506.0,475.0,476.0,278.0,251.0,273.0,251.0,46.5,36.6,44.7,39.3,145.0,142.0,73.0,85.0,56.0,21.5,127.0,84.0,121.0,0.4961,0.3281,1.0,0.5,0.0,0.23,96.0,111.0,275.0,191.0,0.0,107.0,0.761,0.761,0.4263,0.0,0.0,0.0,0.01563,0.68359,0.24219,0.05859,287,0,0,0,74,27
Irvington Elementary School,elementary,Regular School,861.0,411004000905.0,1320 NE Brazee St,Portland,97212,45.5402,-122.652,True,12.0,False,False,,,DBRAC 2018,,False,,False,,,,1932.0,65285.0,LRCW,547.0,0.4735,249.0,259.0,0.0402,339.0,325.0,320.0,248.0,228.0,235.0,228.0,66.4,57.8,62.8,55.3,128.0,128.0,75.0,79.0,84.0,22.0,11.0,52.0,23.0,0.0425,0.2008,1.0,0.0,0.0,0.27,9.0,60.0,248.0,46.0,1.0,32.0,0.2018,0.2061,0.1404,0.00386,0.01158,0.0,0.0888,0.12741,0.62162,0.14672,558,226,98,3,28,22
Lewis Elementary School,elementary,Regular School,871.0,411004000916.0,4401 SE Evergreen St,Portland,97206,45.4739,-122.6179,True,13.0,False,False,,full,,,False,,False,,,,1952.0,48380.0,Wood,444.0,0.5901,267.0,262.0,-0.0187,390.0,410.0,368.0,337.0,320.0,297.0,320.0,66.4,59.4,73.7,57.0,140.0,138.0,80.0,100.0,90.0,21.0,8.0,59.0,21.0,0.0305,0.2252,1.0,0.5,0.0,0.25,0.0,96.0,338.0,54.0,6.0,34.0,0.1688,0.1875,0.1062,0.0,0.06107,0.0,0.01527,0.12214,0.64885,0.15267,4,0,0,0,396,101
Forest Park Elementary School,elementary,Regular School,2413.0,411004001395.0,9935 NW Durrett St,Portland,97229,45.542628,-122.777668,True,14.0,False,False,,,,,False,,False,,,,1998.0,41898.0,Concrete,546.0,0.4835,302.0,264.0,-0.1258,418.0,402.0,348.0,333.0,328.0,321.0,328.0,83.7,77.7,79.5,78.4,167.0,167.0,86.0,89.0,82.0,23.5,27.0,36.0,6.0,0.1023,0.1364,1.5,0.0,0.0,0.25,0.0,30.0,332.0,10.0,1.0,6.0,0.0305,0.0335,0.0183,0.00379,0.19697,0.00379,0.03409,0.07955,0.54545,0.13636,0,0,0,0,15,15
Rieke Elementary School,elementary,Regular School,1299.0,411004000371.0,1405 SW Vermont,Portland,97219,45.4765,-122.6949,True,15.0,False,True,4160000.0,,,,False,,False,,,,1961.0,30647.0,Steel,492.0,0.5407,279.0,266.0,-0.0466,379.0,368.0,332.0,313.0,300.0,288.0,300.0,85.3,82.7,83.3,81.4,156.0,156.0,86.0,98.0,90.0,23.5,7.0,46.0,19.0,0.0263,0.1729,1.5,0.0,0.0,0.25,27.0,47.0,311.0,36.0,2.0,21.0,0.12,0.1267,0.07,0.0,0.03008,0.00752,0.03008,0.08647,0.72556,0.1203,176,0,0,0,147,55
Abernethy Elementary School,elementary,Regular School,822.0,411004000865.0,2421 SE Orange Ave,Portland,97214,45.5058,-122.6514,False,,False,False,,targeted,,,False,,False,,,,1925.0,48438.0,LRCW,522.0,0.5153,285.0,269.0,-0.0561,520.0,507.0,450.0,374.0,353.0,330.0,353.0,81.6,77.3,81.4,79.5,163.0,164.0,81.0,100.0,90.0,22.0,4.0,59.0,14.0,0.0149,0.2193,1.5,0.0,0.0,0.25,91.0,85.0,374.0,33.0,5.0,20.0,0.0935,0.1076,0.0567,0.00372,0.0223,0.0,0.01115,0.09294,0.75836,0.11152,50,88,0,1,191,92
Ainsworth Elementary School,elementary,Regular School,823.0,411004000866.0,2425 SW Vista Ave,Portland,97201,45.5098,-122.6996,False,,False,True,7870000.0,planned_targeted,,Spanish DLI,True,Spanish,False,287.0,278.0,0.5125,1912.0,55273.0,LRCW,636.0,0.8884,587.0,565.0,-0.0375,625.0,642.0,598.0,552.0,563.0,585.0,563.0,78.5,76.4,79.8,72.3,302.0,301.0,85.0,83.0,84.0,24.5,54.0,68.0,40.0,0.0956,0.1204,1.0,0.0,0.0,0.25,0.0,98.0,551.0,48.0,4.0,19.0,0.0853,0.0924,0.0337,0.00354,0.04425,0.0,0.02655,0.26903,0.53097,0.12566,1216,191,0,2,220,14
Alameda Elementary School,elementary,Regular School,824.0,411004000867.0,2732 NE Fremont St,Portland,97212,45.5478,-122.6374,False,,False,False,,full,,,False,,False,,,,1921.0,60840.0,Wood,792.0,0.6503,498.0,515.0,0.0341,730.0,704.0,624.0,525.0,538.0,521.0,538.0,84.0,81.1,78.8,78.2,244.0,243.0,88.0,97.0,86.0,24.0,3.0,75.0,32.0,0.0058,0.1456,2.0,0.0,0.0,0.25,6.0,80.0,527.0,370.0,0.0,14.0,0.6877,0.6877,0.026,0.00388,0.01748,0.00194,0.01359,0.08544,0.75146,0.12621,0,0,0,0,50,47
Alliance High School,alternative,Alternative School,4507.0,411004001652.0,4039 NE Alberta Ct,Portland,97211,45.5586,-122.6221,False,,False,False,,,,,False,,False,,,,1953.0,32477.0,Wood,,,197.0,215.0,0.0914,197.0,213.0,215.0,167.0,193.0,193.0,193.0,,,33.3,,,,6.0,91.0,89.0,39.0,8.0,61.0,104.0,0.0372,0.2837,4.0,3.0,0.0,0.5,34.0,227.0,165.0,135.0,0.0,55.0,0.6995,0.6995,0.285,0.0,0.0186,0.0,0.09767,0.24186,0.47907,0.16279,620,168,120,2,436,264
Astor Elementary School,k8,Regular School,827.0,411004000870.0,5601 N Yale St,Portland,97203,45.5788,-122.7297,False,,False,False,,,,,False,,False,,,,1949.0,47360.0,Wood,559.0,0.7174,413.0,401.0,-0.0291,434.0,416.0,395.0,393.0,368.0,375.0,368.0,54.7,46.7,52.8,47.5,277.0,272.0,71.0,89.0,89.0,25.0,15.0,75.0,76.0,0.0374,0.187,1.5,0.5,0.0,0.25,9.0,154.0,392.0,237.0,0.0,54.0,0.644,0.644,0.1467,0.02993,0.01496,0.00249,0.06983,0.14963,0.59352,0.13965,293,0,0,0,177,114
Atkinson Elementary School,elementary,Regular School,828.0,411004000871.0,5800 SE Division St,Portland,97206,45.505026,-122.604783,False,,True,False,,,,Spanish DLI,True,Spanish,False,178.0,188.0,0.4863,1952.0,58057.0,Wood,567.0,0.6455,372.0,366.0,-0.0161,419.0,391.0,392.0,344.0,337.0,366.0,337.0,60.8,53.6,60.1,59.4,171.0,170.0,71.0,91.0,85.0,18.0,42.0,74.0,41.0,0.1148,0.2022,1.0,0.0,0.0,0.25,6.0,85.0,341.0,69.0,11.0,30.0,0.2047,0.2374,0.089,0.0,0.00546,0.00546,0.01093,0.37978,0.53005,0.06831,113,14,4,1,52,50
Beach Elementary School,k8,Regular School,830.0,411004000873.0,1710 N Humboldt St,Portland,97217,45.5581,-122.6855,False,,False,True,1350000.0,planned_targeted,,Spanish DLI,True,Spanish,False,155.0,133.0,0.5382,1928.0,66633.0,LRCW,750.0,0.384,295.0,288.0,-0.0237,432.0,433.0,382.0,351.0,346.0,325.0,346.0,54.9,50.3,55.2,50.3,174.0,174.0,76.0,92.0,86.0,23.0,51.0,54.0,43.0,0.1771,0.1875,1.0,0.5,0.0,0.25,0.0,83.0,351.0,226.0,0.0,75.0,0.6532,0.6532,0.2168,0.0,0.01736,0.0,0.11111,0.30208,0.45833,0.11111,1100,197,48,3,411,79
